url,img,alt_text
/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9TPTG8U&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMFREBAHZQGY9.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/w/k/-original-imagg2abzhxjckxu.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)"
/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFKKNVFF&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBZHB7YJT5HF.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)"
/oneplus-10r-forest-green-256-gb/p/itm10b9b43146ada?pid=MOBGHBNGYGSTWQCS&lid=LSTMOBGHBNGYGSTWQCSN47JL0&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGYGSTWQCS.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 256 GB)"
/oneplus-10r-forest-green-128-gb/p/itm10b9b43146ada?pid=MOBGGFT7SVDZFATY&lid=LSTMOBGGFT7SVDZFATYTQQSLU&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGGFT7SVDZFATY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 128 GB)"
/oneplus-11-5g-titan-black-128-gb/p/itm668119d115289?pid=MOBGMUGYNMCMR2AF&lid=LSTMOBGMUGYNMCMR2AFRGSTEM&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUGYNMCMR2AF.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 128 GB)"
/oneplus-11-5g-eternal-green-128-gb/p/itm668119d115289?pid=MOBGMUGSSSJGKNDU&lid=LSTMOBGMUGSSSJGKNDUCGZ9IN&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUGSSSJGKNDU.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/8/3/11-5g-b0bqjlcqd3-oneplus-original-imagmugsquuygsbg.jpeg?q=70,"OnePlus 11 5G (?Eternal Green, 128 GB)"
/oneplus-11-5g-titan-black-256-gb/p/itm668119d115289?pid=MOBGMUH476DXG3ZY&lid=LSTMOBGMUH476DXG3ZYYIXEOQ&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGMUH476DXG3ZY.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 256 GB)"
/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGWSNHGCE3&lid=LSTMOBGHBNGWSNHGCE372IHLX&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGWSNHGCE3.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/k/9/-original-imaghfmfhfqc9fxz.jpeg?q=70,"OnePlus 10T 5G (Moonstone Black, 256 GB)"
/oneplus-10t-5g-jade-green-256-gb/p/itm3f637fb950838?pid=MOBGHBNGYE5Z857G&lid=LSTMOBGHBNGYE5Z857GUGIQXV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGYE5Z857G.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/9/g/-original-imagkn6dknzhfhck.jpeg?q=70,"OnePlus 10T 5G (Jade Green, 256 GB)"
/oneplus-10r-sierra-black-128-gb/p/itm10b9b43146ada?pid=MOBGHBNGX9ZK6HQV&lid=LSTMOBGHBNGX9ZK6HQVT7BCLB&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=b5554ff9-63dd-4837-af5a-9ca420be208a.MOBGHBNGX9ZK6HQV.SEARCH&ppt=None&ppn=None&ssid=4nfrdqu1wg0000001678947772008&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/q/v/-original-imageyq5akea25we.jpeg?q=70,"OnePlus 10R (Sierra Black, 128 GB)"
