url,img,alt_text
/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFKTSMW7&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHB7YJT5HF.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/p/8/-original-imagg2a4rmk94gay.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)"
/oneplus-10r-forest-green-128-gb/p/itm10b9b43146ada?pid=MOBGGFT7SVDZFATY&lid=LSTMOBGGFT7SVDZFATYXSY95C&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGGFT7SVDZFATY.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 128 GB)"
/oneplus-10r-forest-green-256-gb/p/itm10b9b43146ada?pid=MOBGHBNGYGSTWQCS&lid=LSTMOBGHBNGYGSTWQCSN47JL0&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBNGYGSTWQCS.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R (Forest Green, 256 GB)"
/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9EG6XMP&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGMFREBAHZQGY9.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/w/k/-original-imagg2abzhxjckxu.jpeg?q=70,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)"
/oneplus-11-5g-titan-black-128-gb/p/itm668119d115289?pid=MOBGMUGYNMCMR2AF&lid=LSTMOBGMUGYNMCMR2AFRGSTEM&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGMUGYNMCMR2AF.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 128 GB)"
/oneplus-11-5g-titan-black-256-gb/p/itm668119d115289?pid=MOBGMUH476DXG3ZY&lid=LSTMOBGMUH476DXG3ZYYIXEOQ&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGMUH476DXG3ZY.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/j/u/11-5g-b0bqjmrxqv-oneplus-original-imagmugyd8yzjczg.jpeg?q=70,"OnePlus 11 5G (Titan Black, 256 GB)"
/oneplus-9-5g-arctic-sky-128-gb/p/itmc5d1c40d3c10e?pid=MOBGDHV9RYDJHBWY&lid=LSTMOBGDHV9RYDJHBWYSJSNKV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGDHV9RYDJHBWY.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/l26hdow0/mobile/i/j/r/9-mt2111-oneplus-original-imagdh239er3qnz2.jpeg?q=70,"OnePlus 9 5G (Arctic Sky, 128 GB)"
/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm31ac32e308282?pid=MOBGHBZHFAUYKH3U&lid=LSTMOBGHBZHFAUYKH3UHZ1SIE&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHFAUYKH3U.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/s/t/-original-imagfx6hzsqu438h.jpeg?q=70,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)"
/oneplus-10-pro-5g-volcanic-black-256-gb/p/itmcd1af0daf0394?pid=MOBGHBZHAGG4NYJG&lid=LSTMOBGHBZHAGG4NYJGV18V18&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHAGG4NYJG.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70,"OnePlus 10 Pro 5G (Volcanic Black, 256 GB)"
/oneplus-10-pro-5g-volcanic-black-128-gb/p/itm6f3bc476a043f?pid=MOBGHBZHAJ2UZYBD&lid=LSTMOBGHBZHAJ2UZYBDUBF6RV&marketplace=FLIPKART&q=one+plus+&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=285394df-2b7f-4719-9a79-2c6b074ff9eb.MOBGHBZHAJ2UZYBD.SEARCH&ppt=None&ppn=None&ssid=n8iv63o0sg0000001678975598758&qH=886353a0635251b2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70,"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)"
